dataset,location,year,month,day,date,data_quality,max_temp_c,max_temp_flag,min_temp_c,min_temp_flag,mean_temp_c,mean_temp_flag,heat_deg_days_c,heat_deg_days_flag,cool_deg_days_c,cool_deg_days_flag,total_rain_mm,total_rain_flag,total_snow_cm,total_snow_flag,total_precip_mm,total_precip_flag,snow_on_grnd_cm,snow_on_grnd_flag,dir_of_max_gust_10s_deg,dir_of_max_gust_flag,spd_of_max_gust_km_h,spd_of_max_gust_flag,season,lessons,promotion
ec_climate_daily,LA MACAZA QC 5599,2013,12,2,2013-12-02,NA,1,NA,-5,NA,-2,NA,20,NA,0,NA,0,NA,1,NA,1,NA,32,NA,NA,NA,NA,NA,1,9,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,3,2013-12-03,NA,1,NA,-2,NA,-0.5,NA,18.5,NA,0,NA,0,NA,0,T,0,T,32,NA,NA,NA,NA,NA,1,11,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,4,2013-12-04,NA,3,NA,-5,NA,-1,NA,19,NA,0,NA,0,NA,0,NA,0,NA,32,NA,NA,NA,NA,NA,1,9,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,5,2013-12-05,NA,7.5,NA,-4,NA,1.8,NA,16.2,NA,0,NA,2.4,NA,0,NA,2.4,NA,30,NA,NA,NA,NA,NA,1,9,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,6,2013-12-06,NA,0,NA,-4,NA,-2,NA,20,NA,0,NA,0,NA,0,NA,0,NA,18,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,7,2013-12-07,NA,-4,NA,-15,NA,-9.5,NA,27.5,NA,0,NA,0,NA,0,NA,0,NA,18,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,8,2013-12-08,NA,-3,NA,-21,NA,-12,NA,30,NA,0,NA,0,NA,2,NA,2,NA,18,NA,NA,NA,NA,NA,1,18,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,9,2013-12-09,NA,-1.5,NA,-15,NA,-8.3,NA,26.3,NA,0,NA,0,NA,8,NA,8,NA,20,NA,NA,NA,NA,NA,1,14,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,10,2013-12-10,NA,-5,NA,-15,NA,-10,NA,28,NA,0,NA,0,NA,0,T,0,T,24,NA,NA,NA,NA,NA,1,12,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,11,2013-12-11,NA,-9,NA,NA,M,NA,M,NA,M,NA,M,0,NA,2,NA,2,NA,24,NA,NA,NA,NA,NA,1,9,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,12,2013-12-12,NA,-12,NA,-32,NA,-22,NA,40,NA,0,NA,0,NA,3,NA,3,NA,26,NA,NA,NA,NA,NA,1,8,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,13,2013-12-13,NA,-16,NA,-25,NA,-20.5,NA,38.5,NA,0,NA,0,NA,0,NA,0,NA,28,NA,NA,NA,NA,NA,1,16,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,14,2013-12-14,NA,-13,NA,-35,NA,-24,NA,42,NA,0,NA,0,NA,18,NA,18,NA,28,NA,NA,NA,NA,NA,1,7,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,15,2013-12-15,NA,-9,NA,-19,NA,-14,NA,32,NA,0,NA,0,NA,7,NA,7,NA,44,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,16,2013-12-16,NA,-17,NA,-26,NA,-21.5,NA,39.5,NA,0,NA,0,NA,0,NA,0,NA,44,NA,NA,NA,NA,NA,1,6,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,17,2013-12-17,NA,-17,NA,-37,NA,-27,NA,45,NA,0,NA,0,NA,0,T,0,T,44,NA,NA,NA,NA,NA,1,0,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,18,2013-12-18,NA,NA,M,NA,M,NA,M,NA,M,NA,M,0,NA,2,NA,2,NA,44,NA,NA,NA,NA,NA,1,2,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,19,2013-12-19,NA,-3,NA,NA,M,NA,M,NA,M,NA,M,0,NA,3,NA,3,NA,44,NA,NA,NA,NA,NA,1,13,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,20,2013-12-20,NA,-6,NA,-9,NA,-7.5,NA,25.5,NA,0,NA,NA,M,10,NA,NA,M,46,NA,NA,NA,NA,NA,1,19,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,21,2013-12-21,NA,-6,NA,-9,NA,-7.5,NA,25.5,NA,0,NA,0,NA,7,NA,7,NA,54,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,22,2013-12-22,NA,-7,NA,-10,NA,-8.5,NA,26.5,NA,0,NA,0,NA,2,NA,2,NA,50,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,23,2013-12-23,NA,-6,NA,-10,NA,-8,NA,26,NA,0,NA,0,NA,0,T,0,T,50,NA,NA,NA,NA,NA,1,15,0
